IDrace,gene_sz_race_name,gene_sz_abbreviation,gene_sz_filename,fkIDcountry,fkIDrace_class,fkIDfirst_stage,fkIDlast_stage,gene_f_popularity,gene_i_number_stages,gene_sz_mailOrganisateur,gene_ilist_fkIDteam,gene_ilist_objectif_info,CONSTANT,gene_sz_classification_xml,gene_f_organisateur_coeff,fkIDrace_type,gene_b_national_tour,fkID_iconic_region,gene_i_comfort,gene_b_aso,gene_sz_currentvariant,value_i_prime,gene_b_selected,value_i_offsetLeapYear
13,In Flanders Fields - From Middelkerke to Wevelgem,Wevelg,topclas_gwevelgem,4,7,1013,1013,80.0,1,nicolas.denys@flandersclassics.be,"(37,13,34,3,5,6,2,11,1,33,10,20,15,14,16,12,9,42,22,69,25,226,99)",(),gandwevelgem,top_classiques_autres,1.0,15,0,402,4,0,,7,1,0
14,Midden-Brabant Poort Omloop,MidBra,c2_middenbrabant,5,18,1014,1014,12.0,1,info@wielerweekendgilze.nl,"(158,167,211,140,223,563,146,554,110,647)",(),brabant,cont_12,1.0,10,0,507,1,0,,2088,1,0
15,La Flèche Wallonne,Flèche,topclas_fleche,4,7,1015,1015,80.0,1,tgouvenou@aso.fr,"(37,13,34,3,5,6,2,11,1,33,10,20,15,14,16,12,42,226,22,99,87,9,69)",(),flechewallone,top_classiques_autres,1.0,10,0,401,3,1,,10,1,0
18,La Vuelta Ciclista a España,Vuelta,top_vuelta,8,2,1018,21018,90.0,21,info@unipublic.es,"(16,14,11,1,33,10,2,37,5,3,13,22,12,6,35,20,34,15,9,92,42)",(),vuelta,top_espagne_grandtour,1.0,1,0,0,5,1,,23,1,0
19,Tour de Romandie,Romand,top_romandie,17,3,1019,6019,63.0,6,info@tourderomandie.ch,"(37,13,34,3,5,6,2,11,1,33,10,20,15,14,16,12,226,9)",(),tourderomandie,top_romandie,1.0,2,0,1702,4,0,,12,1,0
24,Omloop Nieuwsblad,Omloop,topclas_omloophetnieuws,4,8,1024,1024,75.0,1,nicolas.denys@flandersclassics.be,"(33,14,37,10,13,34,3,5,6,2,11,1,20,15,16,12,42,9,99,22,69,226,236)",(),gandlokeren,top_classiques_autres,1.0,12,0,402,3,0,,53,1,0
25,Tour de France,TDF,top_tdf,3,1,1025,21025,98.0,21,tgouvenou@aso.fr,"(14,16,13,33,6,2,99,42,9,11,15,1,20,3,37,12,34,5,10,25,226)",(),tour,top_france_grandtour,1.0,1,0,0,5,1,,17,1,0
26,ADAC Cyclassics,Hambur,topclas_hamburg,7,7,1026,1026,58.0,1,oliver.schiek@ironman.com,"(14,11,33,99,37,226,34,15,10,42,13,5,2,3,9,12,6,16,20,1,22)",(),hewcyclassics,top_classiques_autres,1.0,15,0,0,4,1,,20,1,0
27,Tour des Alpes-Maritimes,AlpMar,c1_hautvar,3,17,1027,1027,30.0,1,tour0683@nicematin.fr,"(13,3,6,9,5,34,12,42,25,236,68,59,169,168)",(),tourhautvar,cont_11,1.0,10,0,321,2,0,,111,1,0
28,Bretagne Classic - CIC,Bretag,topclas_plouay,3,7,1028,1028,54.0,1,tranvaux.jean-yves@wanadoo.fr,"(226,16,14,11,12,33,2,10,37,3,5,13,99,1,15,42,6,20,34,25,9,81,100)",(),grandprixplouay,top_classiques_autres,1.0,9,0,305,4,0,,22,1,0
29,Copenhagen Sprint,Copenhagen,topclas_copenhagen,10,9,1029,1029,40.0,1,jesper.tikioeb@cyklingdanmark.dk,"(11,14,37,33,13,99,34,42,226,20,22,25,15,9,35,236,92,176,102,100,69)",(),copenhagen,top_classiques_autres,1.0,15,0,0,4,0,,24060,1,0
31,Tour du Finistère Pays de Quimper,Finist,c1_finistere,3,17,1031,1031,16.0,1,tourdufinisterecycliste@gmail.com,"(3,42,6,13,34,1,92,35,100,22,25,236,87,169,168,68,59)",(),routefinistere,cont_11,1.0,10,0,0,3,0,,147,1,0
32,Tro-Bro Léon,TBLéon,c0_trobleon,3,16,1032,1032,40.0,1,jeanpaul.mellouet@orange.fr,"(3,6,12,13,42,34,1,9,99,25,226,236,92,87,68,70,169,100,59,168)",(),tropheebroleon,cont_1hc,1.0,17,0,305,4,1,,148,1,0
36,Clásica de Ordizia - Ordiziako Klasikoa,Ordizi,c1_ordizia,8,17,1036,1036,15.0,1,jlsanzroa@hotmail.es,"(16,34,1,12,92,35,100,70,102,22,25,236,232,431,173,199,216,238,228)",(),ordizia,cont_11,1.0,10,0,0,3,0,,207,1,0
38,Vuelta a Burgos,Burgos,t0_burgos,8,10,1038,5038,36.0,5,vueltaburgos@diputaciondeburgos.es,"(16,33,2,1,13,5,11,12,10,3,92,99,22,226,35,70,100,102,431)",(),burgos,t0_burgos,1.0,3,0,0,2,0,,192,1,0
39,E3 Saxo Classic,E3,topclas_harelbeke,4,7,1039,1039,75.0,1,info@e3saxobankclassic.be,"(37,13,34,3,5,6,2,11,1,33,10,20,15,14,16,12,9,42,99,226,25,22,69)",(),gpe3,top_classiques_autres,1.0,12,0,402,2,0,,47,1,0
40,Tour of Oman,Oman,t0_oman,68,10,1040,5040,28.0,5,fperque@aso.fr,"(6,1,10,20,15,14,16,12,92,22,25,226,99,95,363,216,551)",(),tourofoman,t0_oman,1.0,5,1,0,4,1,,57,1,0
43,Strade Bianche,Strade,topclas_stradebian,2,7,1043,1043,75.0,1,stefano.allocchio@rcs.it,"(16,37,13,34,3,5,6,2,42,11,9,1,22,33,176,10,20,15,102,14,226,99,12)",(),stradebianche,top_classiques_autres,1.0,10,0,209,4,0,,54,1,0
44,Eschborn-Frankfurt,Frankf,topclas_gpfrankfurt,7,9,1044,1044,47.0,1,office@gfr-cycling.de,"(33,34,5,11,10,37,226,16,13,20,99,42,1,15,12,22)",(),gpfrancfort,top_classiques_autres,1.0,15,0,707,3,1,,35,1,0
49,Donostia San Sebastian Klasikoa,SanSeb,topclas_sansebastian,8,7,1049,1049,68.0,1,admon@oceta.eus,"(226,16,3,10,11,33,70,35,1,5,14,34,12,15,13,100,20,6,37,2,99,92)",(),klasikasansebastian,top_classiques_autres,1.0,10,0,816,3,0,,18,1,0
63,Volta ao Algarve em Bicicleta,Algarv,t0_algarve,29,10,1063,5063,40.0,5,geral@fpciclismo.pt,"(16,14,10,11,33,2,37,9,6,5,15,13,34,226,35,105,259,171,232,38,379,365,299,109)",(),voltaalgarve,t0_algarve,1.0,4,0,2905,2,0,,107,1,0
66,Ename Samyn Classic,Samyn,c1_fayt,4,17,1066,1066,27.0,1,jeanlucvdb@skynet.be,"(37,12,15,6,13,11,10,9,25,99,123,100,236,87,69,211,59,110,153,158,431,409,167)",(),fayt,cont_11,1.0,17,0,401,3,0,,116,1,0
68,Settimana Internazionale Coppi e Bartali,SetInt,t1_settimanainter,2,11,1068,5068,24.0,5,gsemiliaciclismo@tin.it,"(14,5,2,10,20,16,12,42,22,176,102,25,81,87,236,204,178,395,95,221,173,336,398,212,40)",(),coppainternazionale,t1_settimanainter,1.0,4,0,0,2,0,,114,1,0
69,Région Pays de la Loire Tour,Sarthe,t0_sarthe,3,10,1069,4069,25.0,4,laurentbspdrouault@gmail.com,"(5,6,34,3,25,99,123,102,87,69,100,236,169,168,68,59,202,431)",(),circuitsarthe,t0_sarthe,1.0,8,0,0,2,0,,217,1,0
72,Grand Prix de Denain - Porte du Hainaut,Denain,c0_denain,3,16,1072,1072,35.0,1,contact@gpdenain.fr,"(22,14,16,10,20,3,6,34,13,12,37,9,25,236,69,100,87,168,169,68,59)",(),circuitdenain,cont_1hc,1.0,11,0,315,4,0,,146,1,0
74,Tour Auvergne - Rhône-Alpes,Dauph,top_dauphine,3,3,1074,8074,83.0,8,tgouvenou@aso.fr,"(33,14,16,2,10,13,11,3,12,5,1,37,99,6,42,15,20,34,226,25)",(),dauphinelibere,top_dauphine,1.0,2,0,322,4,1,,15,1,0
77,Milano-Sanremo,SRemo,topclas_sanremo,2,6,1077,1077,88.0,1,stefano.allocchio@rcs.it,"(37,13,34,3,5,6,2,42,11,9,1,22,33,176,10,14,226,16,99,81,12)",(),milansanremo,top_classiques_majeures,1.0,9,0,0,4,0,,4,1,0
78,Clasica Castilla y Leon,Castil,c1_castillayleon,8,17,1078,1078,16.0,1,clubciclistacadalsa@outlook.com,"(92,1,16,12,34,35,100,70,22,25,236,102,431,259,228,173,199,378)",(),castillaleon,cont_11,1.0,15,0,808,2,0,,85,1,0
80,Liechtenstein - National Championships ITT,LIE TT,natitt-lie,125,23,1080,1080,1.0,1,organisateurs@liechtenstein-ch.li,(),(),champ_liechtenstein_itt,default,0.0,13,0,0,2,0,,0,1,0
83,ZLM Tour,ZLM,t1_elektratoer,5,11,1083,5083,19.0,5,profcycling@libema.nl,"(14,37,12,15,226,81,102,87,176,69,409,140,146,158,167,220,0)",(),starelektratoer,t1_elektratoer,1.0,6,0,511,2,0,,213,1,0
84,Tour of Holland,TourHolland,t1_holland,5,11,1084,6084,28.0,6,Info@tigsports.nl,"(33,37,11,10,15,14,12,9,22,69,102,25,236,158,167,140,146,409)",(),tourholland,t1_holland,1.0,4,1,0,3,0,,24921,1,0
85,Tour of Austria,Österr,t1_austria,37,11,1085,6085,17.0,6,office@tourofaustria.com,"(2,37,20,16,236,81,166,112,40,114,410,415,158,58,369,172,150,153,162)",(),osterreichrundfahrt,t1_austria,1.0,2,1,0,3,0,,38,1,0
87,Liège-Bastogne-Liège,LBL,topclas_lbl,4,6,1087,1087,86.0,1,tgouvenou@aso.fr,"(37,13,34,3,5,6,2,11,1,33,10,20,15,14,16,12,22,226,42,99,9,25,87)",(),liegebastogneliege,top_classiques_majeures,1.0,10,0,401,4,1,,11,1,0
91,Volta Ciclista a Catalunya,Catal,top_catalunya,8,3,1091,7091,66.0,7,volta@voltacatalunya.cat,"(16,14,10,11,33,3,2,37,6,5,1,20,15,13,34,12,9,42,35,70,92,100)",(),tourdecatalogne,top_catalogne,1.0,3,0,809,3,1,,14,1,0
92,Paris - Tours Elite,Tours,c0_paristours,3,16,1092,1092,56.0,1,tgouvenou@aso.fr,"(14,11,37,9,3,16,6,2,12,34,99,15,25,226,42,22,236,68,59,169,168)",(),paristours,cont_1hc,1.0,17,0,0,3,1,,28,1,0
93,Renewi Tour,Renewi,top_benelux,4,3,1093,5093,60.0,5,info@golazo.com,"(16,37,10,14,11,13,3,5,33,2,15,6,1,20,12,34,9,69,87,226,236)",(),tourdubenelux,top_benelux,1.0,6,0,0,4,0,,21,1,0
96,Tour du Limousin-Périgord - Nouvelle Aquitaine,Limous,t1_limousin,3,11,1096,4096,23.0,4,tourdulimousin@wanadoo.fr,"(3,34,6,35,70,100,176,25,236,81,87,169,431,68,168,59)",(),routelimousin,t1_limousin,1.0,7,0,312,2,0,,191,1,0
98,Faun-Ardèche Classic,Ardèche,c0_ardeche,3,16,1098,1098,30.0,1,guillaume.delpech@bdao.info,"(34,3,6,5,11,1,10,15,14,16,12,25,236,42,9,226,22,169,168,68,59)",(),sudardeche,cont_1hc,1.0,10,0,322,2,0,,121,1,0
99,Faun Drôme Classic,Drôme,c0_drome,3,16,1099,1099,30.0,1,guillaume.delpech@bdao.info,"(34,3,6,5,11,1,10,15,14,16,12,25,236,42,9,226,22,169,168,68,59)",(),dromeclassic,cont_1hc,1.0,10,0,322,2,0,,432,1,0
100,Grand Prix d'Isbergues - Pas de Calais,Isberg,c1_isbergues,3,17,1100,1100,20.0,1,jean-claude.willems@wanadoo.fr,"(226,37,34,14,6,12,3,22,9,42,25,100,236,526,59,68,135,169,168,234)",(),classicisbergues,cont_11,0.0,15,0,315,2,0,,171,1,0
102,Circuit Franco-Belge,Franco,c0_eurometropole,4,16,1102,1102,23.0,1,circuitfrancobelge@skynet.be,"(37,20,34,15,1,9,42,99,102,35,25,69,70,100,22,87,226,164,59,110,409)",(),tfrancobelge,cont_1hc,1.0,15,0,0,2,0,,231,1,0
104,GP Gippingen,Aargau,c1_gippingen,17,17,1104,1104,23.0,1,office@gippingen.ch,"(9,13,34,5,11,33,20,12,22,176,102,226,81,369,149,234,267,172,68,40,153)",(),gippingen,cont_11,1.0,10,0,1701,3,0,,199,1,0
105,Classique Dunkerque / Grand prix des Hauts de France,ClasDunker,c0_dunkerque,3,16,1105,1105,20.0,1,quatrejoursdk@orange.fr,"(3,12,34,6,15,2,10,1,14,35,236,25,226,99,9,42,87,100,59,169,168,68)",(),classiquedunkerque,cont_1hc,1.0,15,0,0,3,0,,24917,1,0
106,4 Jours de Dunkerque / Grand Prix des Hauts de France,4JDun,t0_dunkerque,3,10,1106,5106,24.0,5,quatrejoursdk@orange.fr,"(3,12,34,6,15,2,10,1,14,35,236,25,226,99,9,42,87,100,59,169,168,68)",(),4joursdunkerque,t0_dunkerque,1.0,6,0,315,2,0,,175,1,0
107,USA - National Road Championships,USA RR,nat-usa,6,22,1107,1107,29.0,1,nationalevents@usacycling.org,(),(),champ_usa,cont_12,0.0,9,0,0,4,0,,1791,1,0
108,Colombia - National Road Championships,COL RR,nat-col,11,22,1108,1108,23.0,1,presidencia@federacioncolombianadeciclismo.com,(),(),champ_colombia,cont_12,0.0,9,0,0,4,0,,1176,1,0
109,Russia - National Road Championships,RUS RR,nat-rus,15,22,1109,1109,10.0,1,organisateurs@russia-rr.ru,(),(),champ_russia,cont_12,0.0,9,0,0,4,0,,2431,1,0
110,Australia - National Road Championships,AUS RR,nat-aus,20,22,1110,1110,25.0,1,road@auscycling.org.au,(),(),champ_australia,cont_12,1.0,9,0,0,4,0,,1164,1,0
111,Portugal - National Road Championships,POR RR,nat-por,29,22,1111,1111,18.0,1,geral@fpciclismo.pt,(),(),champ_portugal,cont_12,0.0,9,0,0,4,0,,2330,1,0
112,Poland - National Road Championships,POL RR,nat-pol,30,22,1112,1112,18.0,1,d.banaszek@bdc-development.pl,(),(),champ_poland,cont_12,0.0,9,0,0,4,0,,2210,1,0
113,Czech Republic - National Road Championships,CZE RR,nat-cze,33,22,1113,1113,14.0,1,balaztomas76@gmail.com,(),(),champ_czechrepublic,cont_12,0.0,9,0,0,4,0,,2722,1,0
114,Ukraine - National Road Championships,UKR RR,nat-ukr,38,22,1114,1114,10.0,1,federation@velosport.org.ua,(),(),champ_ukraine,cont_12,0.0,9,0,0,4,0,,2425,1,0
115,Great Britain - National Road Championships,GBR RR,nat-gbr,18,22,1115,1115,35.0,1,road@britishcycling.org.uk,(),(),champ_greatbritain,cont_12,0.0,9,0,0,4,0,,2235,1,0
120,Spain - National Championships ITT,ESP ITT,natitt-esp,8,23,1120,1120,13.0,1,alejandromartin@rfec.com,(),(),champ_spain_itt,default,0.0,13,0,0,2,0,,1200,1,0
121,Italy - National Championships ITT,ITA ITT,natitt-ita,2,23,1121,1121,17.0,1,strada@federciclismo.it,(),(),champ_italy_itt,default,0.0,13,0,0,2,0,,1923,1,0
122,France - National Championships ITT,FRA ITT,natitt-fra,3,23,1122,1122,23.0,1,a.fourez@ffc.fr,(),(),champ_france_itt,default,0.0,13,0,0,2,0,,1929,1,0
123,Belgium - National Championships ITT,BEL ITT,natitt-bel,4,23,1123,1123,30.0,1,info@belgiancycling.be,(),(),champ_belgium_itt,default,0.0,13,0,0,2,0,,1433,1,0
124,Netherlands - National Championships ITT,NED ITT,natitt-ned,5,23,1124,1124,20.0,1,wegsport@knwu.nl,(),(),champ_netherlands_itt,default,0.0,13,0,0,2,0,,1935,1,0
125,USA - National Championships ITT,USA ITT,natitt-usa,6,23,1125,1125,15.0,1,nationalevents@usacycling.org,(),(),champ_usa_itt,default,0.0,13,0,0,2,0,,1792,1,0
126,Germany - National Championships ITT,GER ITT,natitt-deu,7,23,1126,1126,15.0,1,rik@sauser-event.de,(),(),champ_germany_itt,default,0.0,13,0,0,2,0,,2307,1,0
127,Great Britain - National Championships ITT,GBR ITT,natitt-gbr,18,23,1127,1127,15.0,1,road@britishcycling.org.uk,(),(),champ_greatbritain_itt,default,0.0,13,0,0,2,0,,2236,1,0
128,Clasica de Almeria,Almeria,c0_almeria,8,16,1128,1128,19.0,1,clasicadealmeria@hotmail.com,"(22,226,9,34,25,1,100,20,92,12,35,102,70,69)",(),gpalmeria,cont_1hc,1.0,15,0,0,3,0,,129,1,0
129,Classic Var,ClassicVar,c1_classicvar,3,17,1129,1129,24.0,1,tour0683@nicematin.fr,"(13,3,6,9,5,34,12,42,25,236,68,59,169,168)",(),classicvar,cont_11,1.0,10,0,0,3,0,,21999,1,0
133,Paris-Nice,Nice,top_nice,3,3,1133,8133,77.0,8,tgouvenou@aso.fr,"(14,10,16,11,33,20,2,3,13,15,1,226,6,12,5,99,34,25,37,35)",(),parisnice,top_parisnice,1.0,2,0,0,4,1,,2,1,0
135,Giro d'Italia,Giro,top_giro,2,2,1135,21135,93.0,21,stefano.allocchio@rcs.it,"(37,13,34,3,5,6,2,11,1,33,10,20,15,14,16,12,42,22,102,226,81)",(),giro,top_italie_grandtour,1.0,1,0,0,5,0,,13,1,0
139,Tirreno-Adriatico,Tirreno,top_tirreno,2,3,1139,7139,79.0,7,stefano.allocchio@rcs.it,"(37,13,34,3,5,6,2,42,11,1,22,33,10,20,15,102,14,226,16,99,81,12)",(),tirrenoadriatico,top_tirreno,1.0,2,0,0,4,0,,3,1,0
145,Scheldeprijs,Scheld,c0_schelde,4,16,1145,1145,60.0,1,info@scheldeprijs.be,"(10,37,34,11,33,20,15,12,70,42,9,22,176,69,25,226,236,99,87,158,110)",(),scheldetourvlaanderen,cont_1hc,1.0,15,0,0,2,0,,56,1,0
149,Lotto Grand Prix de Wallonie,GPW,c0_gpwallonie,4,16,1149,1149,34.0,1,christophe.brandt@trworg.be,"(33,37,13,34,3,2,1,16,12,42,9,69,102,25,226,99,87,158,110,59)",(),gpnamur,cont_1hc,1.0,10,0,0,2,0,,93,1,0
153,Tre Valli Varesine,Vares,c0_trevallevaresine,2,16,1153,1153,46.0,1,renzo.oldani@gmail.com,"(16,37,13,34,3,5,6,2,11,1,33,20,15,14,10,12,92,22,176,102,226,99,81)",(),coppavaresine,cont_1hc,1.0,10,0,0,3,0,,190,1,0
159,Brussels Cycling Classic,Brussels,c0_parisbruxelles,4,16,1159,1159,31.0,1,nicolas.denys@flandersclassics.be,"(99,10,37,34,6,33,15,12,35,70,100,42,9,22,176,69,25,226,236,81,87)",(),parisbruxelles,cont_1hc,1.0,17,0,0,3,0,,64,1,0
160,GP de Fourmies / La Voix du Nord,Fourmi,c0_fourmies,3,16,1160,1160,23.0,1,gpf@mairie-fourmies.fr,"(226,12,10,37,3,99,13,15,42,6,20,34,22,25,9,236,102,69,87,68,59,169,168)",(),gpfourmies,cont_1hc,1.0,15,0,315,2,0,,92,1,0
163,Milano - Torino,Torino,c0_milanotorino,2,16,1163,1163,50.0,1,luca.papini@rcs.it,"(12,5,70,42,95,221,1,22,176,236,15,102,14,25,226,16,99,81)",(),milanotorino,cont_1hc,1.0,9,0,204,3,0,,89,1,0
165,Gran Piemonte,Piemon,c0_piemonte,2,16,1165,1165,30.0,1,luca.papini@rcs.it,"(5,37,13,34,2,11,1,22,33,176,20,15,102,226,16,236,99,81,12)",(),piemonte,cont_1hc,1.0,10,0,202,2,0,,61,1,0
166,PostNord Tour of Denmark,Denmark,t0_denmark,10,10,1166,5166,25.0,5,frank.hyldgaard@cyklingdanmark.dk,"(9,14,11,37,15,99,102,236,100,69,161,206,434,123,158,147,624)",(),tourdudanemark,t0_denmark,1.0,8,1,0,3,0,,32,1,0
167,Volta a Portugal em Bicicleta,Portug,t1_portugal,29,11,1167,11167,15.0,11,geral@podi1.com,"(105,35,211,173,38,233,299,259,253,171,431,232,109,379,365,378)",(),tourduportugal,t1_portugal,1.0,2,1,0,2,0,,197,1,0
169,Giro dell'Emilia,Emilia,c0_emilia,2,16,1169,1169,61.0,1,gsemiliaciclismo@tin.it,"(16,13,34,3,5,6,2,11,1,33,10,20,15,14,12,92,22,176,102,226,99,81)",(),coppadelemilia,cont_1hc,1.0,10,0,208,3,0,,29,1,0
172,Il Lombardia,Lombar,topclas_lombardia,2,6,1172,1172,85.0,1,stefano.allocchio@rcs.it,"(16,37,13,34,3,5,6,2,11,9,1,22,33,10,20,15,102,14,226,99,81,12)",(),tourdelombardie,top_classiques_majeures,1.0,23,0,204,4,0,,24,1,0
173,Amstel Gold Race,Amstel,topclas_maastricht,5,7,1173,1173,74.0,1,info@amstelgoldrace.nl,"(37,13,34,3,5,6,2,11,1,33,10,20,15,14,16,12,22,226,99,9,42,236,25)",(),amstelgoldrace,top_classiques_autres,1.0,10,0,506,4,0,,9,1,0
175,UCI World Championships,Worlds RR,world,22,20,1175,1175,91.0,1,hello2023@cyclingworldchamps.com,(),(),worldchampionship,default,0.0,14,0,0,4,0,,26,1,0
179,Giro della Toscana - Memorial Alfredo Martini,Toscan,c1_toscana,2,17,1179,1179,16.0,1,coppasabatini@gmail.com,"(12,16,34,5,20,1,33,226,92,35,70,100,176,123,102,25,236,99,81,221,149,173,398)",(),gptoscana,cont_11,1.0,10,0,209,2,0,,4025,1,0
183,Tour of Slovenia,Sloven,t0_slovenia,28,10,1183,5183,23.0,5,office@tourofslovenia.si,"(16,20,13,11,70,22,102,236,99,81,35,176,92,100,369,179,250)",(),tourslovenia,t0_slovenia,1.0,3,1,2801,2,0,,211,1,0
184,GP Kranj,Kranj,c1_gpkranj,28,17,1184,1184,10.0,1,kksava@siol.net,"(102,176,179,250,173,415,230,410,239,224,112,211,221,114,336,604,647)",(),gpkranj,cont_11,1.0,10,0,0,2,0,,209,1,0
186,Tour of Magnificent Qinghai,Qingha,t0_qinghai,25,10,1186,8186,18.0,8,tdql_2015@sina.cn,"(12,37,87,92,35,176,81,184,106,146,363,418,218,110,217,193,423,242,225,278)",(),qinghai,t0_qinghai,1.0,4,0,0,4,0,,127,1,0
189,Sparkassen Münsterland Giro,Münst,c0_munsterland,7,16,1189,1189,27.0,1,bergmann@stadt-muenster.de,"(37,10,11,34,5,33,20,15,14,12,42,9,22,69,123,25,226,236,99,267,222,369)",(),munsterland,cont_1hc,1.0,9,0,710,2,0,,158,1,0
190,Lloyds Tour of Britain,Britai,t0_britain,18,10,1190,5190,34.0,5,info@thetour.co.uk,"(2,16,14,11,10,42,99,3,13,15,6,226,22,9,236,70,69,105)",(),tourofbritain,t0_britain,1.0,7,1,1801,3,0,,45,1,0
191,Chrono des Nations,ChrNat,c1_nations,3,17,1191,1191,25.0,1,contact@chronodesnations.com,"(6,16,2,99,22,226,25,34,267,70,162,363,393,180)",(),chrononations,default,1.0,19,0,0,3,0,,154,1,0
192,Utsunomiya Japan Cup Road Race,Japan,c0_japancup,21,16,1192,1192,15.0,1,japan-cup@city.utsunomiya.tochigi.jp,"(5,13,34,11,20,42,176,123,226,250,237,247,320,95,243,244,181)",(),japancup,cont_1hc,1.0,10,0,0,4,0,,95,1,0
193,Tour de Vendée,Vendée,c1_vendee,3,17,1193,1193,11.0,1,tourdevendee@gmail.com,"(34,3,6,25,236,35,70,100,123,102,169,168,68,59,232)",(),tourdevendee,cont_11,1.0,15,0,0,2,0,,94,1,0
200,Peace Race,Peace,t2u_paix,33,13,1200,4200,22.0,4,racemanager@czechtour.com,"(442,230,160,589,425,202,430,210,135,603,211,204,221,212,159,81,174)",(),coursedelapaix,t2u_paix,1.0,3,0,0,3,0,,14005,1,0
202,Ronde de l'Isard,Isard,t2u_isard,3,13,1202,5202,14.0,5,gsans2111@gmail.com,"(204,212,430,576,207,590,114,520,166,589,591,174,173,140,550,177,607,647)",(),u23rondeisard,t2u_isard,1.0,3,0,0,3,0,,241,1,0
203,Liège-Bastogne-Liège U23,LBL U23,c2u_lbl,4,19,1203,1203,15.0,1,fernandlambertrlvb@hotmail.com,"(164,442,204,576,577,135,178,159,146,147,597,207,210,211,202,578,652)",(),u23bastogneliege,cont_12,1.0,10,0,0,3,0,,42,1,0
204,Tintrio - Omloop van het Waasland,Waasla,c2_waasland,4,18,1204,1204,6.0,1,bert.haeck@telenet.be,"(59,110,442,253,158,149,162,409,146,140,577,578)",(),waasland,cont_12,1.0,15,0,0,3,0,,286,1,0
205,Tour de l'Avenir,Avenir,t2u_avenir,3,13,1205,7205,40.0,7,philippe.colliou@tourdelavenir.com,"(442,230,160,589,425,202,430,210,135,603,211,204,221,212,159,81,174)",(),u23avenir,t2u_avenir,1.0,2,0,0,3,0,,44,1,0
210,Giro Ciclistico della Valle d'Aosta - Mont Blanc,Aosta,t2u_aosta,2,13,1210,5210,18.0,5,segreteria@girovalledaosta.it,"(442,230,160,589,425,202,430,210,135,603,211,204,221,212,159,81,174)",(),girovalleaosta,t2u_aosta,1.0,18,0,201,3,0,,229,1,0
